#FormatVersion 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Precinct,Precinct ID,Precinct Reporting,Registered Voters,REP Ballots Cast,DEM Ballots Cast,NON Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 5,11,REP,Yes,2,,614,0,68,0,24,0,2,0,374,0,45,0,216,0,21,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 5,11,REP,No,1,,144,0,68,0,4,0,2,0,83,0,45,0,57,0,21,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 6,21,REP,Yes,1,,598,0,81,0,23,0,3,0,362,0,45,0,213,0,33,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 6,21,REP,No,2,,147,0,81,0,4,0,3,0,95,0,45,0,48,0,33,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 7,40,REP,Yes,2,,753,0,40,0,28,0,2,0,462,0,19,0,263,0,19,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 7,40,REP,No,1,,33,0,40,0,0,0,2,0,21,0,19,0,12,0,19,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 8,36,REP,Yes,1,,719,0,54,0,28,0,2,0,441,0,28,0,250,0,24,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 8,36,REP,No,2,,53,0,54,0,0,0,2,0,33,0,28,0,20,0,24,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 9,34,REP,Yes,1,,694,1,38,0,28,1,1,0,422,0,18,0,244,0,19,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 9,34,REP,No,2,,93,1,38,0,0,1,1,0,62,0,18,0,31,0,19,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 10,44,REP,Yes,1,,721,0,55,0,28,0,2,0,440,0,29,0,253,0,24,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 10,44,REP,No,2,,50,0,55,0,0,0,2,0,33,0,29,0,17,0,24,0
