id	precinct	office	district	party	candidate	votes	absentee	early_voting	election_day
1115	Precinct 43				Over Votes	0	0	0	0
1116	Precinct 43				Under Votes	21	1	15	5
1117	Precinct 43	"Dist Judge, 24th Judicial Dist"							
1118	Precinct 43				REP Lisa Harvey Moore	296	12	242	42
1119	Precinct 43				Over Votes	0	0	0	0
1120	Precinct 43				Under Votes	49	2	35	12
1121	Precinct 43	"Dist Judge, 135th Judicial Dist"							
1122	Precinct 43				REP Kemper Stephen Williams	299	12	243	44
1123	Precinct 43				Over Votes	0	0	0	0
1124	Precinct 43				Under Votes	46	2	34	10
1125	Precinct 43	"Dist Attorney, 24th Judicial Dist"							
1126	Precinct 43				REP Brian Michael Cromeens	297	12	239	46
1127	Precinct 43				Over Votes	0	0	0	0
1128	Precinct 43				Under Votes	48	2	38	8
1129	Precinct 43								
1130	Precinct 43	County Attorney							
1131	Precinct 43				Write-ins	77	0	71	6
1132	Precinct 43				Over Votes	0	0	0	0
1133	Precinct 43				Under Votes	268	14	206	48
1134	Precinct 43	Sheriff							
1135	Precinct 43				REP Roy Boyd Jr	311	13	251	47
1136	Precinct 43				Over Votes	0	0	0	0
1137	Precinct 43				Under Votes	34	1	26	7
1138	Precinct 43	County Tax Assessor-Collector							
1139	Precinct 43				REP Michelle Garcia	299	13	239	47
1140	Precinct 43				Over Votes	0	0	0	0
1141	Precinct 43				Under Votes	46	1	38	7
1142	Precinct 43	"Constable, Precinct No. 2"							
1143	Precinct 43				REP Bill Zappe	288	13	230	45
1144	Precinct 43				Over Votes	0	0	0	0
1145	Precinct 43				Under Votes	57	1	47	9
