Political_subdivision,election_date,election_name,total prov ballots,total prov ballots counted,precinct_number,reg_voters,race_name,candidate_name,Party_code,early_votes,election_votes
San Patricio County,11/6/2018,General Election,,,103,12,"Judge, County Court-at-Law",Elizabeth Welborn,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,District Clerk,Heather Marks,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,County Clerk,Gracie Alaniz-Gonzales,DEM,0,1
San Patricio County,11/6/2018,General Election,,,103,12,County Treasurer,Denise Janak,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,County Surveyor,Julius Petrus,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Justice of the Peace, Precinct No. 5",Nere Villarreal,DEM,0,2
San Patricio County,11/6/2018,General Election,,,103,12,"Constable, Precinct No. 5 
Unexpired Term",Valde Ramirez,DEM,0,2
San Patricio County,11/6/2018,General Election,,,104,1534,Straight-Party,Republican Party,REP,189,110
San Patricio County,11/6/2018,General Election,,,104,1534,Straight-Party,Democratic Party,DEM,96,87
San Patricio County,11/6/2018,General Election,,,104,1534,Straight-Party,Libertarian Party,LIB,2,0
San Patricio County,11/6/2018,General Election,,,104,1534,United States Senator,Ted Cruz,REP,270,139
San Patricio County,11/6/2018,General Election,,,104,1534,United States Senator,Beto O'Rourke,DEM,121,113
San Patricio County,11/6/2018,General Election,,,104,1534,United States Senator,Neal M. Dikeman,LIB,1,1
San Patricio County,11/6/2018,General Election,,,104,1534,"United States Representative, District No. 34",Rey Gonzalez,REP,258,136
San Patricio County,11/6/2018,General Election,,,104,1534,"United States Representative, District No. 34",Filemon B. Vela,DEM,125,115
San Patricio County,11/6/2018,General Election,,,104,1534,Governor,Greg Abbott,REP,278,157
San Patricio County,11/6/2018,General Election,,,104,1534,Governor,Lupe Valdez,DEM,109,92
San Patricio County,11/6/2018,General Election,,,104,1534,Governor,Mark Jay Tippetts,LIB,4,3
San Patricio County,11/6/2018,General Election,,,104,1534,Lieutenant Governor,Dan Patrick,REP,263,141
San Patricio County,11/6/2018,General Election,,,104,1534,Lieutenant Governor,Mike Collier,DEM,121,104
San Patricio County,11/6/2018,General Election,,,104,1534,Lieutenant Governor,Kerry Douglas McKennon,LIB,5,4
San Patricio County,11/6/2018,General Election,,,104,1534,Attorney General,Ken Paxton,REP,263,138
San Patricio County,11/6/2018,General Election,,,104,1534,Attorney General,Justin Nelson,DEM,120,106
San Patricio County,11/6/2018,General Election,,,104,1534,Attorney General,Michael Ray Harris,LIB,6,6
San Patricio County,11/6/2018,General Election,,,104,1534,Comptroller of Public Accounts,Glenn Hegar,REP,262,140
San Patricio County,11/6/2018,General Election,,,104,1534,Comptroller of Public Accounts,Joi Chevalier,DEM,115,104
San Patricio County,11/6/2018,General Election,,,104,1534,Comptroller of Public Accounts,Ben Sanders,LIB,8,5
San Patricio County,11/6/2018,General Election,,,104,1534,Commissioner of the General Land Office,George P. Bush,REP,258,132
San Patricio County,11/6/2018,General Election,,,104,1534,Commissioner of the General Land Office,Miguel Suazo,DEM,115,109
San Patricio County,11/6/2018,General Election,,,104,1534,Commissioner of the General Land Office,Matt Pina,LIB,14,8
San Patricio County,11/6/2018,General Election,,,104,1534,Commissioner of Agriculture,Sid Miller,REP,259,137
San Patricio County,11/6/2018,General Election,,,104,1534,Commissioner of Agriculture,Kim Olson,DEM,120,112
San Patricio County,11/6/2018,General Election,,,104,1534,Commissioner of Agriculture,Richard Carpenter,LIB,8,2
San Patricio County,11/6/2018,General Election,,,104,1534,Railroad Commissioner,Christi Craddick,REP,266,139
San Patricio County,11/6/2018,General Election,,,104,1534,Railroad Commissioner,Roman McAllen,DEM,112,107
San Patricio County,11/6/2018,General Election,,,104,1534,Railroad Commissioner,Mike Wright,LIB,7,3
San Patricio County,11/6/2018,General Election,,,104,1534,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,269,143
San Patricio County,11/6/2018,General Election,,,104,1534,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,120,109
San Patricio County,11/6/2018,General Election,,,104,1534,"Justice, Supreme Court, Place 4",John Devine,REP,267,141
