01890031026000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031029000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031030000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031031000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031032000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031035000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031088000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031090000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031096000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032011000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032012000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032015000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032016000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032017000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032019000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032020000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032021000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032022000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032030000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032043000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032074000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032089000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032128000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890041013000104   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041026000000   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041029000202   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041030000004   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041031000167   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041032000244   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041035000000   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041088000094   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041090000000   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041096000003   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042011000223   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042012000134   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042015000199   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042016000129   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042017000108   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042019000154   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042020000296   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
