01890022011000154NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022012000086NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022015000100NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022016000084NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022017000079NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022019000128NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022020000187NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022021000174NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022022000097NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022030000038NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022043000150NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022074000056NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022089000015NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022128000049NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890031013000001   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031026000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031029000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031030000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031031000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031032000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031035000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031088000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031090000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890031096000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032011000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032012000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032015000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032016000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032017000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032019000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032020000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032021000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032022000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032030000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032043000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032074000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032089000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890032128000000   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
01890041013000136   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041026000000   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041029000283   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041030000009   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041031000219   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041032000372   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041035000000   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
