Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
325 - SGR,1597,Comptroller of Public Accounts,Glenn Hegar,1238,704,480
325 - SGR,1597,Comptroller of Public Accounts,Janet T. Dudding,294,166,105
325 - SGR,1597,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,29,15,14
325 - SGR,1597,Commissioner of the General Land Office,Dawn Buckingham,1233,701,480
325 - SGR,1597,Commissioner of the General Land Office,Jay Kleberg,310,176,108
325 - SGR,1597,Commissioner of the General Land Office,"Alfred Molison, Jr.",12,6,6
325 - SGR,1597,Commissioner of the General Land Office,Carrie Evelyn Menger,1,0,1
325 - SGR,1597,Commissioner of the General Land Office,Rejected write-ins,0,0,0
325 - SGR,1597,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
325 - SGR,1597,Commissioner of Agriculture,Sid Miller,1232,703,476
325 - SGR,1597,Commissioner of Agriculture,Susan Hays,320,181,114
325 - SGR,1597,Railroad Commissioner,Wayne Christian,1213,690,470
325 - SGR,1597,Railroad Commissioner,Luke Warford,294,167,103
325 - SGR,1597,Railroad Commissioner,Jaime Andres Diez,30,19,11
325 - SGR,1597,Railroad Commissioner,Hunter Wayne Crow,15,6,9
325 - SGR,1597,"Justice, Supreme Court, Place 3",Debra Lehrmann,1240,707,477
325 - SGR,1597,"Justice, Supreme Court, Place 3",Erin A. Nowell,296,165,109
325 - SGR,1597,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,29,17,12
325 - SGR,1597,"Justice, Supreme Court, Place 5",Rebeca Huddle,1243,710,481
325 - SGR,1597,"Justice, Supreme Court, Place 5",Amanda Reichek,308,173,112
325 - SGR,1597,"Justice, Supreme Court, Place 9",Evan Young,1234,706,475
325 - SGR,1597,"Justice, Supreme Court, Place 9",Julia Maldonado,317,174,119
325 - SGR,1597,"Judge, Court of Criminal Appeals Place 5",Scott Walker,1248,710,486
325 - SGR,1597,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,309,176,110
325 - SGR,1597,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",1242,704,484
325 - SGR,1597,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,307,176,109
325 - SGR,1597,"Member, State Board of Education, Disrict 12",Pam Little,1212,688,470
325 - SGR,1597,"Member, State Board of Education, Disrict 12",Alex Cornwallis,290,167,101
325 - SGR,1597,"Member, State Board of Education, Disrict 12",Christy Mowrey,38,21,17
325 - SGR,1597,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
325 - SGR,1597,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
325 - SGR,1597,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
325 - SGR,1597,"State Senator, District 8",Angela Paxton,1168,657,462
325 - SGR,1597,"State Senator, District 8",Jonathan Cocks,320,185,111
325 - SGR,1597,"State Senator, District 8",Edward Kless,36,24,12
325 - SGR,1597,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,1228,699,477
325 - SGR,1597,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,302,173,108
325 - SGR,1597,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,1231,697,482
325 - SGR,1597,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,304,178,104
325 - SGR,1597,"Hunt County, Proposition A",FOR,1386,789,524
325 - SGR,1597,"Hunt County, Proposition A",AGAINST,140,77,58
325 - SGR,1597,"GREENVILLE ISD, PROPOSITION A",FOR,722,426,253
325 - SGR,1597,"GREENVILLE ISD, PROPOSITION A",AGAINST,813,446,336
426,285,"United States Representative, District 3",Keith Self,215,58,146
426,285,"United States Representative, District 3",Sandeep Srivastava,58,15,37
426,285,"United States Representative, District 3",Christopher Claytor,9,1,7
426,285,Governor,Greg Abbott,219,58,150
426,285,Governor,Beto O'Rourke,60,17,37
426,285,Governor,Mark Tippetts,4,0,3
426,285,Governor,Delilah Barrios,1,0,1
426,285,Governor,Jacqueline Abernathy,0,0,0
426,285,Governor,Mark V. Goloby,0,0,0
426,285,Governor,Rejected write-ins,0,0,0
426,285,Governor,Unassigned write-ins,0,0,0
426,285,Lieutenant Governor,Dan Patrick,213,57,145
426,285,Lieutenant Governor,Mike Collier,61,17,39
426,285,Lieutenant Governor,Shanna Steele,7,0,6
426,285,Attorney General,Ken Paxton,210,56,143
426,285,Attorney General,Rochelle Mercedes Garza,59,16,37
426,285,Attorney General,Mark Ash,9,0,8
426,285,Comptroller of Public Accounts,Glenn Hegar,217,59,146
426,285,Comptroller of Public Accounts,Janet T. Dudding,57,15,36
426,285,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,7,0,7
426,285,Commissioner of the General Land Office,Dawn Buckingham,217,56,149
426,285,Commissioner of the General Land Office,Jay Kleberg,56,18,33
426,285,Commissioner of the General Land Office,"Alfred Molison, Jr.",5,0,5
426,285,Commissioner of the General Land Office,Carrie Evelyn Menger,1,0,0
426,285,Commissioner of the General Land Office,Rejected write-ins,0,0,0
426,285,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
426,285,Commissioner of Agriculture,Sid Miller,222,58,152
426,285,Commissioner of Agriculture,Susan Hays,59,16,37
426,285,Railroad Commissioner,Wayne Christian,211,57,143
426,285,Railroad Commissioner,Luke Warford,58,16,37
426,285,Railroad Commissioner,Jaime Andres Diez,8,1,7
426,285,Railroad Commissioner,Hunter Wayne Crow,4,0,2
426,285,"Justice, Supreme Court, Place 3",Debra Lehrmann,218,58,148
426,285,"Justice, Supreme Court, Place 3",Erin A. Nowell,57,16,36
426,285,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,5,0,4
426,285,"Justice, Supreme Court, Place 5",Rebeca Huddle,220,58,150
426,285,"Justice, Supreme Court, Place 5",Amanda Reichek,59,16,37
426,285,"Justice, Supreme Court, Place 9",Evan Young,218,58,147
426,285,"Justice, Supreme Court, Place 9",Julia Maldonado,59,15,39
426,285,"Judge, Court of Criminal Appeals Place 5",Scott Walker,223,60,150
426,285,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,57,14,38
426,285,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",222,58,152
426,285,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,57,16,35
426,285,"Member, State Board of Education, Disrict 12",Pam Little,213,57,145
426,285,"Member, State Board of Education, Disrict 12",Alex Cornwallis,57,16,36
426,285,"Member, State Board of Education, Disrict 12",Christy Mowrey,7,0,6
426,285,"Member, State Board of Education, Disrict 12",Rosiland Davis,1,0,0
426,285,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
426,285,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
426,285,"State Senator, District 8",Angela Paxton,211,57,143
426,285,"State Senator, District 8",Jonathan Cocks,60,16,38
426,285,"State Senator, District 8",Edward Kless,9,0,8
426,285,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,219,57,149
426,285,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,58,16,37
426,285,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,218,57,148
426,285,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,61,16,40
426,285,"Hunt County, Proposition A",FOR,248,70,164
426,285,"Hunt County, Proposition A",AGAINST,14,2,12
427,1080,"United States Representative, District 3",Keith Self,611,156,423
427,1080,"United States Representative, District 3",Sandeep Srivastava,429,136,265
427,1080,"United States Representative, District 3",Christopher Claytor,24,6,18
427,1080,Governor,Greg Abbott,605,153,419
427,1080,Governor,Beto O'Rourke,458,141,289
427,1080,Governor,Mark Tippetts,11,5,6
427,1080,Governor,Delilah Barrios,5,3,2
427,1080,Governor,Jacqueline Abernathy,0,0,0
427,1080,Governor,Mark V. Goloby,0,0,0
427,1080,Governor,Rejected write-ins,0,0,0
427,1080,Governor,Unassigned write-ins,0,0,0
427,1080,Lieutenant Governor,Dan Patrick,586,150,408
427,1080,Lieutenant Governor,Mike Collier,444,139,278
427,1080,Lieutenant Governor,Shanna Steele,31,8,19
427,1080,Attorney General,Ken Paxton,579,149,403
427,1080,Attorney General,Rochelle Mercedes Garza,446,136,282
427,1080,Attorney General,Mark Ash,31,11,16
427,1080,Comptroller of Public Accounts,Glenn Hegar,610,158,420
427,1080,Comptroller of Public Accounts,Janet T. Dudding,408,124,257
427,1080,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,32,11,21
427,1080,Commissioner of the General Land Office,Dawn Buckingham,611,156,423
427,1080,Commissioner of the General Land Office,Jay Kleberg,422,130,264
427,1080,Commissioner of the General Land Office,"Alfred Molison, Jr.",18,10,8
427,1080,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
427,1080,Commissioner of the General Land Office,Rejected write-ins,1,1,0
427,1080,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
427,1080,Commissioner of Agriculture,Sid Miller,619,158,428
427,1080,Commissioner of Agriculture,Susan Hays,433,138,268
427,1080,Railroad Commissioner,Wayne Christian,601,154,417
427,1080,Railroad Commissioner,Luke Warford,408,124,255
427,1080,Railroad Commissioner,Jaime Andres Diez,30,12,17
427,1080,Railroad Commissioner,Hunter Wayne Crow,14,5,8
427,1080,"Justice, Supreme Court, Place 3",Debra Lehrmann,611,161,420
427,1080,"Justice, Supreme Court, Place 3",Erin A. Nowell,426,130,268
427,1080,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,16,4,11
427,1080,"Justice, Supreme Court, Place 5",Rebeca Huddle,608,156,420
427,1080,"Justice, Supreme Court, Place 5",Amanda Reichek,441,139,274
427,1080,"Justice, Supreme Court, Place 9",Evan Young,607,157,416
427,1080,"Justice, Supreme Court, Place 9",Julia Maldonado,438,137,275
427,1080,"Judge, Court of Criminal Appeals Place 5",Scott Walker,616,155,427
427,1080,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,431,136,269
427,1080,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",608,152,422
427,1080,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,437,140,271
427,1080,"Member, State Board of Education, Disrict 12",Pam Little,596,155,411
427,1080,"Member, State Board of Education, Disrict 12",Alex Cornwallis,422,129,266
427,1080,"Member, State Board of Education, Disrict 12",Christy Mowrey,33,8,22
427,1080,"Member, State Board of Education, Disrict 12",Rosiland Davis,2,2,0
427,1080,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,1,0
427,1080,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
427,1080,"State Senator, District 8",Angela Paxton,594,148,418
427,1080,"State Senator, District 8",Jonathan Cocks,432,136,267
427,1080,"State Senator, District 8",Edward Kless,23,9,12
427,1080,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,606,152,422
427,1080,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,438,141,269
427,1080,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,609,154,423
427,1080,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,432,137,267
427,1080,"Hunt County, Proposition A",FOR,911,255,605
427,1080,"Hunt County, Proposition A",AGAINST,85,29,56
428,999,"United States Representative, District 3",Keith Self,616,206,377
428,999,"United States Representative, District 3",Sandeep Srivastava,346,122,205
428,999,"United States Representative, District 3",Christopher Claytor,21,6,14
428,999,Governor,Greg Abbott,620,209,377
428,999,Governor,Beto O'Rourke,366,131,215
428,999,Governor,Mark Tippetts,8,3,5
428,999,Governor,Delilah Barrios,0,0,0
428,999,Governor,Jacqueline Abernathy,1,0,1
428,999,Governor,Mark V. Goloby,0,0,0
428,999,Governor,Rejected write-ins,1,0,1
428,999,Governor,Unassigned write-ins,0,0,0
428,999,Lieutenant Governor,Dan Patrick,597,201,362
428,999,Lieutenant Governor,Mike Collier,372,132,219
428,999,Lieutenant Governor,Shanna Steele,27,9,18
428,999,Attorney General,Ken Paxton,609,200,375
428,999,Attorney General,Rochelle Mercedes Garza,358,130,207
428,999,Attorney General,Mark Ash,28,11,17
428,999,Comptroller of Public Accounts,Glenn Hegar,611,205,373
428,999,Comptroller of Public Accounts,Janet T. Dudding,336,123,193
428,999,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,36,11,24
428,999,Commissioner of the General Land Office,Dawn Buckingham,626,210,384
428,999,Commissioner of the General Land Office,Jay Kleberg,340,127,192
428,999,Commissioner of the General Land Office,"Alfred Molison, Jr.",15,1,14
428,999,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
428,999,Commissioner of the General Land Office,Rejected write-ins,0,0,0
428,999,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
428,999,Commissioner of Agriculture,Sid Miller,623,210,380
428,999,Commissioner of Agriculture,Susan Hays,360,128,211
428,999,Railroad Commissioner,Wayne Christian,606,201,372
428,999,Railroad Commissioner,Luke Warford,326,118,188
428,999,Railroad Commissioner,Jaime Andres Diez,30,14,15
428,999,Railroad Commissioner,Hunter Wayne Crow,14,3,11
428,999,"Justice, Supreme Court, Place 3",Debra Lehrmann,606,206,368
428,999,"Justice, Supreme Court, Place 3",Erin A. Nowell,349,126,202
428,999,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,25,7,18
428,999,"Justice, Supreme Court, Place 5",Rebeca Huddle,625,211,382
428,999,"Justice, Supreme Court, Place 5",Amanda Reichek,348,123,204
428,999,"Justice, Supreme Court, Place 9",Evan Young,620,207,382
428,999,"Justice, Supreme Court, Place 9",Julia Maldonado,355,127,208
428,999,"Judge, Court of Criminal Appeals Place 5",Scott Walker,620,208,380
428,999,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,355,124,210
428,999,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",628,207,389
428,999,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,346,125,200
428,999,"Member, State Board of Education, Disrict 12",Pam Little,607,204,366
428,999,"Member, State Board of Education, Disrict 12",Alex Cornwallis,338,119,202
428,999,"Member, State Board of Education, Disrict 12",Christy Mowrey,34,11,23
428,999,"Member, State Board of Education, Disrict 12",Rosiland Davis,1,0,0
428,999,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,1,0
428,999,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
428,999,"State Senator, District 8",Angela Paxton,606,205,369
428,999,"State Senator, District 8",Jonathan Cocks,348,122,206
428,999,"State Senator, District 8",Edward Kless,29,8,18
428,999,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,619,211,378
428,999,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,350,125,204
428,999,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,617,210,377
428,999,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,353,124,208
428,999,"Hunt County, Proposition A",FOR,810,278,490
428,999,"Hunt County, Proposition A",AGAINST,111,45,61
429,281,"United States Representative, District 3",Keith Self,204,50,151
429,281,"United States Representative, District 3",Sandeep Srivastava,68,23,43
429,281,"United States Representative, District 3",Christopher Claytor,5,0,5
429,281,Governor,Greg Abbott,206,49,154
429,281,Governor,Beto O'Rourke,73,24,47
429,281,Governor,Mark Tippetts,0,0,0
429,281,Governor,Delilah Barrios,1,0,1
429,281,Governor,Jacqueline Abernathy,0,0,0
429,281,Governor,Mark V. Goloby,0,0,0
429,281,Governor,Rejected write-ins,0,0,0
429,281,Governor,Unassigned write-ins,0,0,0
429,281,Lieutenant Governor,Dan Patrick,197,50,144
429,281,Lieutenant Governor,Mike Collier,79,23,54
429,281,Lieutenant Governor,Shanna Steele,2,0,2
429,281,Attorney General,Ken Paxton,191,49,139
429,281,Attorney General,Rochelle Mercedes Garza,78,23,53
429,281,Attorney General,Mark Ash,5,1,4
429,281,Comptroller of Public Accounts,Glenn Hegar,202,49,150
429,281,Comptroller of Public Accounts,Janet T. Dudding,69,23,44
429,281,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,5,1,4
429,281,Commissioner of the General Land Office,Dawn Buckingham,205,49,153
429,281,Commissioner of the General Land Office,Jay Kleberg,68,23,43
429,281,Commissioner of the General Land Office,"Alfred Molison, Jr.",2,0,2
429,281,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
429,281,Commissioner of the General Land Office,Rejected write-ins,0,0,0
429,281,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
429,281,Commissioner of Agriculture,Sid Miller,206,49,154
429,281,Commissioner of Agriculture,Susan Hays,70,23,45
429,281,Railroad Commissioner,Wayne Christian,202,50,149
429,281,Railroad Commissioner,Luke Warford,66,22,42
429,281,Railroad Commissioner,Jaime Andres Diez,4,0,4
429,281,Railroad Commissioner,Hunter Wayne Crow,4,1,3
429,281,"Justice, Supreme Court, Place 3",Debra Lehrmann,204,50,151
429,281,"Justice, Supreme Court, Place 3",Erin A. Nowell,70,23,45
429,281,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,2,0,2
429,281,"Justice, Supreme Court, Place 5",Rebeca Huddle,203,48,152
429,281,"Justice, Supreme Court, Place 5",Amanda Reichek,69,23,44
429,281,"Justice, Supreme Court, Place 9",Evan Young,202,50,149
429,281,"Justice, Supreme Court, Place 9",Julia Maldonado,73,22,49
429,281,"Judge, Court of Criminal Appeals Place 5",Scott Walker,200,48,149
429,281,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,73,23,48
429,281,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",205,50,152
429,281,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,70,23,45
429,281,"Member, State Board of Education, Disrict 12",Pam Little,201,51,147
429,281,"Member, State Board of Education, Disrict 12",Alex Cornwallis,69,22,45
429,281,"Member, State Board of Education, Disrict 12",Christy Mowrey,3,0,3
429,281,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
429,281,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
429,281,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
429,281,"State Senator, District 8",Angela Paxton,194,49,142
429,281,"State Senator, District 8",Jonathan Cocks,71,23,46
429,281,"State Senator, District 8",Edward Kless,8,1,7
429,281,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,203,50,150
429,281,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,70,23,45
429,281,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,202,50,149
429,281,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,69,23,44
429,281,"Hunt County, Proposition A",FOR,245,62,178
429,281,"Hunt County, Proposition A",AGAINST,20,8,12
430,63,"United States Representative, District 3",Keith Self,51,32,19
430,63,"United States Representative, District 3",Sandeep Srivastava,10,8,1
430,63,"United States Representative, District 3",Christopher Claytor,0,0,0
430,63,Governor,Greg Abbott,53,34,19
430,63,Governor,Beto O'Rourke,10,8,1
430,63,Governor,Mark Tippetts,0,0,0
430,63,Governor,Delilah Barrios,0,0,0
430,63,Governor,Jacqueline Abernathy,0,0,0
430,63,Governor,Mark V. Goloby,0,0,0
430,63,Governor,Rejected write-ins,0,0,0
430,63,Governor,Unassigned write-ins,0,0,0
430,63,Lieutenant Governor,Dan Patrick,53,34,19
430,63,Lieutenant Governor,Mike Collier,10,8,1
430,63,Lieutenant Governor,Shanna Steele,0,0,0
430,63,Attorney General,Ken Paxton,52,33,19
430,63,Attorney General,Rochelle Mercedes Garza,10,8,1
430,63,Attorney General,Mark Ash,0,0,0
430,63,Comptroller of Public Accounts,Glenn Hegar,52,33,19
430,63,Comptroller of Public Accounts,Janet T. Dudding,10,8,1
430,63,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
430,63,Commissioner of the General Land Office,Dawn Buckingham,51,32,19
430,63,Commissioner of the General Land Office,Jay Kleberg,10,8,1
430,63,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
430,63,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
430,63,Commissioner of the General Land Office,Rejected write-ins,0,0,0
430,63,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
430,63,Commissioner of Agriculture,Sid Miller,53,34,19
430,63,Commissioner of Agriculture,Susan Hays,10,8,1
430,63,Railroad Commissioner,Wayne Christian,51,33,18
430,63,Railroad Commissioner,Luke Warford,10,8,1
430,63,Railroad Commissioner,Jaime Andres Diez,0,0,0
430,63,Railroad Commissioner,Hunter Wayne Crow,0,0,0
430,63,"Justice, Supreme Court, Place 3",Debra Lehrmann,52,33,19
430,63,"Justice, Supreme Court, Place 3",Erin A. Nowell,10,8,1
430,63,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
430,63,"Justice, Supreme Court, Place 5",Rebeca Huddle,52,33,19
430,63,"Justice, Supreme Court, Place 5",Amanda Reichek,10,8,1
430,63,"Justice, Supreme Court, Place 9",Evan Young,52,33,19
430,63,"Justice, Supreme Court, Place 9",Julia Maldonado,10,8,1
430,63,"Judge, Court of Criminal Appeals Place 5",Scott Walker,53,33,19
430,63,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,9,8,1
430,63,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",50,31,19
430,63,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,10,8,1
430,63,"Member, State Board of Education, Disrict 12",Pam Little,50,32,18
430,63,"Member, State Board of Education, Disrict 12",Alex Cornwallis,11,9,1
430,63,"Member, State Board of Education, Disrict 12",Christy Mowrey,0,0,0
430,63,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
430,63,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
430,63,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
430,63,"State Senator, District 8",Angela Paxton,51,32,19
430,63,"State Senator, District 8",Jonathan Cocks,10,8,1
430,63,"State Senator, District 8",Edward Kless,0,0,0
430,63,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,51,33,18
430,63,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,10,8,1
430,63,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,51,33,18
430,63,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,10,8,1
430,63,"Hunt County, Proposition A",FOR,55,36,18
430,63,"Hunt County, Proposition A",AGAINST,4,3,1
430 - SGR,234,"United States Representative, District 3",Keith Self,160,115,41
430 - SGR,234,"United States Representative, District 3",Sandeep Srivastava,65,38,22
430 - SGR,234,"United States Representative, District 3",Christopher Claytor,3,2,1
430 - SGR,234,Governor,Greg Abbott,160,115,41
430 - SGR,234,Governor,Beto O'Rourke,70,43,22
430 - SGR,234,Governor,Mark Tippetts,3,1,2
430 - SGR,234,Governor,Delilah Barrios,1,0,1
430 - SGR,234,Governor,Jacqueline Abernathy,0,0,0
430 - SGR,234,Governor,Mark V. Goloby,0,0,0
430 - SGR,234,Governor,Rejected write-ins,0,0,0
430 - SGR,234,Governor,Unassigned write-ins,0,0,0
430 - SGR,234,Lieutenant Governor,Dan Patrick,154,111,39
430 - SGR,234,Lieutenant Governor,Mike Collier,72,43,24
430 - SGR,234,Lieutenant Governor,Shanna Steele,7,4,3
430 - SGR,234,Attorney General,Ken Paxton,153,108,41
430 - SGR,234,Attorney General,Rochelle Mercedes Garza,68,40,23
430 - SGR,234,Attorney General,Mark Ash,9,8,1
430 - SGR,234,Comptroller of Public Accounts,Glenn Hegar,154,112,38
430 - SGR,234,Comptroller of Public Accounts,Janet T. Dudding,66,40,22
430 - SGR,234,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,11,6,4
430 - SGR,234,Commissioner of the General Land Office,Dawn Buckingham,160,115,41
430 - SGR,234,Commissioner of the General Land Office,Jay Kleberg,64,37,22
430 - SGR,234,Commissioner of the General Land Office,"Alfred Molison, Jr.",6,4,2
430 - SGR,234,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
430 - SGR,234,Commissioner of the General Land Office,Rejected write-ins,0,0,0
430 - SGR,234,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
430 - SGR,234,Commissioner of Agriculture,Sid Miller,161,117,39
430 - SGR,234,Commissioner of Agriculture,Susan Hays,69,39,26
430 - SGR,234,Railroad Commissioner,Wayne Christian,155,113,38
430 - SGR,234,Railroad Commissioner,Luke Warford,61,35,21
430 - SGR,234,Railroad Commissioner,Jaime Andres Diez,9,4,5
430 - SGR,234,Railroad Commissioner,Hunter Wayne Crow,6,5,1
430 - SGR,234,"Justice, Supreme Court, Place 3",Debra Lehrmann,158,115,38
430 - SGR,234,"Justice, Supreme Court, Place 3",Erin A. Nowell,64,37,23
430 - SGR,234,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,8,4,4
430 - SGR,234,"Justice, Supreme Court, Place 5",Rebeca Huddle,161,116,41
430 - SGR,234,"Justice, Supreme Court, Place 5",Amanda Reichek,68,40,23
430 - SGR,234,"Justice, Supreme Court, Place 9",Evan Young,161,116,40
430 - SGR,234,"Justice, Supreme Court, Place 9",Julia Maldonado,68,40,24
430 - SGR,234,"Judge, Court of Criminal Appeals Place 5",Scott Walker,161,116,41
430 - SGR,234,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,70,42,23
430 - SGR,234,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",164,118,41
430 - SGR,234,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,65,38,23
430 - SGR,234,"Member, State Board of Education, Disrict 12",Pam Little,157,115,38
430 - SGR,234,"Member, State Board of Education, Disrict 12",Alex Cornwallis,62,37,20
430 - SGR,234,"Member, State Board of Education, Disrict 12",Christy Mowrey,10,4,6
430 - SGR,234,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
430 - SGR,234,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
430 - SGR,234,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
430 - SGR,234,"State Senator, District 8",Angela Paxton,153,109,40
430 - SGR,234,"State Senator, District 8",Jonathan Cocks,67,40,22
430 - SGR,234,"State Senator, District 8",Edward Kless,11,8,3
430 - SGR,234,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,161,117,40
430 - SGR,234,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,68,39,24
430 - SGR,234,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,162,118,40
430 - SGR,234,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,68,38,25
430 - SGR,234,"Hunt County, Proposition A",FOR,202,142,53
430 - SGR,234,"Hunt County, Proposition A",AGAINST,26,14,12
430 - SGR,234,"GREENVILLE ISD, PROPOSITION A",FOR,114,79,31
430 - SGR,234,"GREENVILLE ISD, PROPOSITION A",AGAINST,115,79,33
431,87,"United States Representative, District 3",Keith Self,65,33,30
431,87,"United States Representative, District 3",Sandeep Srivastava,22,7,14
431,87,"United States Representative, District 3",Christopher Claytor,0,0,0
431,87,Governor,Greg Abbott,64,33,29
431,87,Governor,Beto O'Rourke,22,7,14
431,87,Governor,Mark Tippetts,0,0,0
431,87,Governor,Delilah Barrios,0,0,0
431,87,Governor,Jacqueline Abernathy,0,0,0
431,87,Governor,Mark V. Goloby,0,0,0
431,87,Governor,Rejected write-ins,0,0,0
431,87,Governor,Unassigned write-ins,0,0,0
431,87,Lieutenant Governor,Dan Patrick,63,33,29
431,87,Lieutenant Governor,Mike Collier,23,7,15
431,87,Lieutenant Governor,Shanna Steele,1,0,0
431,87,Attorney General,Ken Paxton,63,33,29
431,87,Attorney General,Rochelle Mercedes Garza,23,7,14
431,87,Attorney General,Mark Ash,1,0,1
431,87,Comptroller of Public Accounts,Glenn Hegar,65,33,30
431,87,Comptroller of Public Accounts,Janet T. Dudding,22,7,14
431,87,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
431,87,Commissioner of the General Land Office,Dawn Buckingham,64,33,29
